Model:	LI-7810
SN:	TG10-01213
Software Version:	2.0.25
Timestamp:	2024-03-11 12:01:13
Timezone:	Asia/Chongqing
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1710136158	67698955	25953	0	2024-03-11	13:49:18	13550.1	492.034	2168.65	39.3255	54.9995	34.7478	39.0158	0.00197591	12.5843	54.4982	-57.25	0.059731	23.8412	 45
DATA	1710136159	67342996	25957	0	2024-03-11	13:49:19	13739.2	493.235	2168.36	39.3264	54.9995	34.7478	39.0158	0.00201194	12.5834	54.4982	-195.5	0.059731	23.8471	 45
DATA	1710136160	67342996	25961	0	2024-03-11	13:49:20	13832.7	494.155	2168.52	39.326	54.9995	34.7466	39.0158	0.0020142	12.5824	54.4982	-306	0.059731	23.8475	 66
DATA	1710136161	67342996	25965	0	2024-03-11	13:49:21	13900	494.881	2168.69	39.326	54.9995	34.7445	39.0159	0.00202529	12.5816	54.4988	-276.5	0.059731	23.8471	146
DATA	1710136162	67342996	25969	0	2024-03-11	13:49:22	13929.4	495.96	2168.26	39.326	54.9995	34.742	39.0158	0.00203811	12.5823	54.499	-169	0.059731	23.8467	250
DATA	1710136163	67342996	25973	0	2024-03-11	13:49:23	13713.9	499.226	2168.56	39.3255	54.9995	34.7433	39.0158	0.00199332	12.5829	54.499	-130.75	0.059731	23.8467	 45
DATA	1710136164	67342996	25977	0	2024-03-11	13:49:24	13258.9	499.015	2168.71	39.3255	54.9995	34.7424	39.0158	0.00192805	12.5851	54.499	87.75	0.059731	23.8471	210
DATA	1710136165	67342996	25981	0	2024-03-11	13:49:25	12990.9	501.457	2168.54	39.3239	54.9995	34.7424	39.0158	0.00187771	12.5859	54.499	40	0.059731	23.8471	 55
DATA	1710136166	66992044	25985	0	2024-03-11	13:49:26	12878.7	500.362	2168.77	39.3243	54.9995	34.7429	39.0158	0.00186824	12.5875	54.499	5.25	0.059731	23.8467	160
DATA	1710136167	66992044	25989	0	2024-03-11	13:49:27	12807.5	500.852	2168.58	39.3231	54.9995	34.7424	39.0159	0.00185493	12.5864	54.499	137.5	0.059731	23.8471	198
DATA	1710136168	66992044	25993	0	2024-03-11	13:49:28	12627.1	501.01	2169.29	39.3218	54.9995	34.7424	39.0161	0.00182852	12.5872	54.499	93.25	0.059731	23.8471	125
DATA	1710136169	66992044	25997	0	2024-03-11	13:49:29	12360.7	500.402	2168.97	39.3194	54.9995	34.7433	39.0159	0.00180144	12.59	54.499	102	0.059731	23.8471	231
DATA	1710136170	66992044	26001	0	2024-03-11	13:49:30	12304.6	499.371	2168.86	39.3194	54.9995	34.7437	39.0158	0.00177564	12.5894	54.499	104.25	0.059731	23.8467	232
DATA	1710136171	66992044	26005	0	2024-03-11	13:49:31	12555.2	500.567	2168.77	39.3198	54.9995	34.7429	39.0158	0.00182724	12.5878	54.499	-59.75	0.059731	23.8467	244
DATA	1710136172	66992044	26009	0	2024-03-11	13:49:32	12917.3	500.883	2168.95	39.321	54.9995	34.7429	39.0158	0.00188749	12.5865	54.499	-225.75	0.059731	23.8463	239
DATA	1710136173	66992044	26013	0	2024-03-11	13:49:33	13180.2	500.751	2169.1	39.3202	54.9995	34.7408	39.0158	0.00191943	12.586	54.499	-194	0.059731	23.8463	252
