Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709740062	1709740137	0.13560938833570418	-231856356.41957632	0.9318051023645352	2.6040524068101656e-44	0.004293799151396775
1709740287	1709740348	0.13064108937070334	-223361884.15633428	0.9264543053779725	3.927692549027632e-35	0.004792039756648478
1709740501	1709740554	0.12476600548298664	-213317043.36607212	0.8807872127129827	3.3015723040725273e-25	0.006427426270491437
1709740739	1709740803	0.10752692307692303	-183842711.54715762	0.8700320369253829	3.6487416943628414e-29	0.005278030646383046
1709740945	1709741010	0.10869143356643382	-185833744.64288208	0.8819907960654867	6.198335911529488e-31	0.005008999126040476
1709741167	1709741224	0.10799183303085298	-184637632.10453385	0.8676975538996675	7.990293387019272e-26	0.005686032248040417
1709741405	1709741466	0.11197847699629822	-191453787.78371623	0.8870779394999684	1.2495845796366235e-29	0.005201361732663071
1709741602	1709741674	0.11315636053765511	-193467687.98589918	0.903540572326427	2.8267564321649437e-37	0.0044190453830717374
1709741831	1709741888	0.11113488462535649	-190011510.62416014	0.8655760326207316	1.2389849202631903e-25	0.005905474539514286
1709742068	1709742131	0.1107774577572965	-189400429.45820904	0.8815339917281795	6.005700063307711e-30	0.0051995268196142926
1709742273	1709742339	0.10054334620603275	-171902759.80806288	0.8760549133181574	1.0192950225117497e-30	0.004727291040614334
1709742495	1709742551	0.09219572795625439	-157630503.347918	0.7553781936505873	3.8154209848155025e-18	0.007139688768526628
