Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710082638	1710082701	0.8749164746543784	-1496177359.9664905	0.9994902501825862	3.819384996205389e-102	0.002529827652101442
1710082849	1710082910	0.7082041248016923	-1211085614.511045	0.9996354595053979	3.8570116913805624e-103	0.0017606965315815125
1710083062	1710083122	0.8536015559877752	-1459727452.215785	0.9985607964996106	4.0197635035492384e-84	0.004255151710637295
1710083303	1710083364	0.6595880486515069	-1127948404.3598533	0.9994982271723509	4.783435661315325e-99	0.0019240188725861448
1710083513	1710083573	0.7373006390664084	-1260843561.1120307	0.9995264323327993	4.022841142489392e-98	0.002107290908469541
1710083729	1710083785	0.8523455228981545	-1457580104.3338113	0.9996554153657872	3.4737162384779865e-95	0.002153483738126833
1710083965	1710084027	0.7870592531036738	-1345935308.9729373	0.9996818635904539	1.228918507920691e-106	0.0018126234117357635
1710084177	1710084237	0.8816085023617674	-1507622647.1801429	0.9995529528280103	7.563020241502609e-99	0.0024481360314579778
1710084391	1710084453	0.8791543904711533	-1503426102.200628	0.999812137245703	1.683894976235103e-113	0.0015557888851521996
1710084629	1710084692	0.8692458717357897	-1486481909.0148127	0.9994186778923767	2.100541136024585e-100	0.002684184772141704
1710084834	1710084900	0.8685308422920351	-1485259331.542865	0.9991280741935383	1.237890904118732e-99	0.0032071881822473463
1710085057	1710085113	0.9519654818865341	-1627939851.812124	0.9997553040590966	3.362842887228226e-99	0.0020267064304757155
