Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710418542	1710418601	0.3635838690824081	-621879996.4290411	0.9828601848460368	4.953345283802626e-52	0.006359520546877655
1710418748	1710418808	0.2658564323423176	-454725262.14180833	0.9773956793850682	1.971079068411273e-49	0.005308767401029673
1710418960	1710419023	0.33843437980030744	-578864035.2171177	0.9824337910605649	2.9778365292511143e-55	0.005794246045425446
1710419202	1710419265	0.30027097734255037	-513588705.3376435	0.9842108607363907	1.1502006727170794e-56	0.004869491265016892
1710419407	1710419474	0.2673817543299545	-457334408.18694484	0.9870799887947754	4.0982273115740044e-63	0.003794288604724861
1710419626	1710419686	0.2468808557932758	-422269332.3207133	0.9755527004329679	1.915329751991984e-48	0.005131726435953448
1710419865	1710419929	0.3344490842490845	-572047830.4559013	0.9840520042256783	1.9555262133778892e-57	0.005407271763164652
1710420077	1710420139	0.22748102540857673	-389087589.9855642	0.9725970105975569	1.4152384954276993e-48	0.004929490775234956
1710420290	1710420350	0.28908844123367583	-494462210.5557108	0.9818976970875349	3.1366693384981756e-52	0.005154072506333197
1710420525	1710420590	0.2637159527972028	-451064627.8029004	0.9803599320601434	1.732702453051142e-55	0.004702673677416461
1710420744	1710420797	0.43914683115626474	-751125286.2430753	0.9903221696258951	4.846152444028481e-53	0.006078905854975604
1710420946	1710421012	0.3186213338899904	-544976035.9663805	0.987614324729046	9.401725515735745e-63	0.004460165960942855
