Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710418542	1710418601	0.2007352425482174	-343339069.98154175	0.9949700866338756	3.293290987521319e-67	0.0018904336522169705
1710418748	1710418808	2.3661022506251754	-4047023398.576978	0.9981851564208586	3.350211802366355e-81	0.013247488702218807
1710418960	1710419023	2.6609130184331806	-4551273844.985816	0.9987562872046716	2.4929875162172226e-90	0.012022534966784569
1710419202	1710419265	2.4385464669738837	-4170934473.5666475	0.9999314807999913	9.995036615701668e-129	0.0025845630977755544
1710419407	1710419474	0.8832572431957877	-1510738140.0615396	0.999840081348464	4.174150921343518e-125	0.0013855264387966904
1710419626	1710419686	0.7764701305918307	-1328087567.8092523	0.999743958882255	7.234185971151244e-106	0.001631628264859371
1710419865	1710419929	0.8571964285714285	-1466163621.395125	0.999737151318964	1.0349712126046778e-112	0.0017652023363481015
1710420077	1710420139	1.3265800407947415	-2269006947.0051093	0.9998206275502791	4.204988759698029e-114	0.0022939009276714585
1710420290	1710420350	1.569900250069463	-2685187041.991441	0.999827049882169	8.281242648845293e-111	0.002711165640231235
1710420525	1710420590	2.1443806818181823	-3667790550.0808797	0.9995433600943711	5.98713760241733e-107	0.005774544373781746
1710420744	1710420797	0.6426334462183508	-1099171405.1419415	0.9992918416552465	5.302721939146411e-82	0.002395505953424628
1710420946	1710421012	1.2599569982256564	-2155054651.00305	0.9998610570462491	3.697871448467022e-125	0.0018565821595332758
