Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709815124	1709815183	0.153984804208064	-263283386.92397413	0.993461622690876	5.8125719935646105e-64	0.0016546261327272367
1709815322	1709815388	0.15608287235152976	-266870724.514897	0.9947741811202313	9.532266617818644e-75	0.0014141002076124465
1709815535	1709815608	0.15173670245588033	-259439605.35509378	0.9945060079733744	5.52039364051182e-82	0.0013384488355941528
1709815786	1709815848	0.11893832943013287	-203360466.25579312	0.980194612168276	8.293883240222556e-53	0.0021826380860246494
1709815994	1709816057	0.11045362903225786	-188853214.47193435	0.982377619924445	3.282477197486035e-55	0.0018941227653592602
1709816209	1709816267	0.12151988680057844	-207774503.8313082	0.9866412534999953	3.549492122541078e-54	0.001889542053456022
1709816447	1709816511	0.13316002747252761	-227677033.95113418	0.9903429574314824	3.437183117507464e-64	0.0016699647169232715
1709816660	1709816721	0.13082020095187702	-223676385.05454206	0.9899474002882137	1.2134114177331642e-60	0.001716255496552738
1709816874	1709816937	0.12185195852534506	-208342358.23335892	0.9856836547435445	5.799725859214544e-58	0.0018802469841257146
1709817112	1709817176	0.13019116300366276	-222600897.6041468	0.9831256215608637	1.1262466897851533e-56	0.0021661825198203426
1709817320	1709817385	0.14297202797202882	-244453865.3690504	0.9839905522618819	2.7656512317964928e-58	0.0022975951921640216
1709817537	1709817597	0.15204056682411923	-259959438.9904962	0.9920739427563241	1.237893547430083e-62	0.0017844404695976806
