Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709998461	1709998522	0.3207887361184559	-548547792.8157338	0.9812002902777937	1.2767842201514169e-52	0.005780825266509681
1709998663	1709998730	0.30760236251895606	-525999175.10385954	0.9875258073982571	1.3087644456535088e-63	0.004288100783087723
1709998885	1709998945	0.28068141150319537	-479964444.4433252	0.9782927479872189	6.088354266518174e-50	0.005489940810386131
1709999122	1709999186	0.2849786401098901	-487312769.15532136	0.9784776912435643	2.128742277333202e-53	0.00536766532284734
1709999333	1709999392	0.2768014026884861	-473329760.18486375	0.9799373514093868	4.409748149799963e-50	0.00524597040354286
1709999539	1709999607	0.2681300912318206	-458501880.1920345	0.9773311814192917	5.302827187148224e-56	0.0050265169812476656
1709999786	1709999849	0.2830885656682026	-484080932.73559356	0.9804499296759387	7.792362477638799e-54	0.005118218975360264
1709999993	1710000060	0.27477524143985965	-469865208.38655514	0.9853998496962857	2.180338728625879e-61	0.004148521424963397
1710000210	1710000273	0.2636637864823349	-450864677.7198605	0.9764315138036571	2.3368169829892973e-51	0.005244819151749292
1710000452	1710000515	0.283921370967742	-485505219.288988	0.9862993568132394	1.5170308098550698e-58	0.0042844913356367715
1710000656	1710000710	0.28005401181627604	-478892092.53860253	0.9736160573448523	1.0052430337103756e-42	0.0063931678942866855
1710000878	1710000936	0.27538401673382745	-470906457.6281975	0.9771727772660856	1.1679736515180392e-47	0.00562452142115031
