Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709998461	1709998522	0.7768709677419371	-1328446004.5233731	0.9987418222981069	2.8663344114265163e-87	0.0035897752578549465
1709998663	1709998730	0.7228457977492216	-1236063196.94801	0.9988059884080156	9.927557707063792e-97	0.003099935696071325
1709998885	1709998945	0.661810225062517	-1131692594.6834047	0.9991034074777126	4.403527821075489e-90	0.002603225634272961
1709999122	1709999186	0.5922200091575086	-1012693548.6161957	0.9967298330026847	9.043779936069499e-79	0.004308077118312448
1709999333	1709999392	0.5331583869082408	-911698341.0897359	0.9989912114014631	4.271834027722659e-87	0.002244078610527647
1709999539	1709999607	0.5833793945871661	-997576354.8284806	0.9993863598397266	9.813118344249094e-108	0.001779382422809802
1709999786	1709999849	0.6284091781874022	-1074577412.6409433	0.9982721663937435	5.645044596331235e-86	0.0033473727716759726
1709999993	1710000060	0.5999557027695746	-1025922102.1545222	0.9990959008579897	1.177675085293553e-100	0.00223855076429281
1710000210	1710000273	0.5607325268817198	-958850592.2044386	0.9991798021892018	7.624042744191183e-96	0.002056971675331513
1710000452	1710000515	0.6771423771121341	-1157911618.5412	0.9994533434093046	3.220366084454657e-101	0.0020276412037573558
1710000656	1710000710	0.7000285877644351	-1197047193.042436	0.9975641207652182	1.245690350764873e-69	0.004797020457722593
1710000878	1710000936	0.6882451013565485	-1176897567.9693995	0.9975435848150632	9.013067329390541e-75	0.004563878374601975
