Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710211200	1710211260	0.3438577382606281	-588068812.547998	0.9770000676783529	3.260670003983533e-49	0.006927567843264833
1710211408	1710211463	0.15585757575757542	-266548867.80271155	0.9261897982376843	1.1451463452829132e-31	0.006043634361870049
1710211622	1710211681	0.1898956750438341	-324761249.06223774	0.9417829580518265	6.896003580319141e-37	0.006253559689103158
1710211863	1710211923	0.1815466518477351	-310482698.1684203	0.9485661738306282	4.525274238331225e-39	0.005550918446046995
1710212073	1710212131	0.17554984773447344	-300226931.00804776	0.9404874152498875	5.343244168649366e-36	0.005901118772016438
1710212278	1710212344	0.17810499947813432	-304596822.54988927	0.95850600431059	6.0478371898300534e-46	0.004632136335929261
1710212525	1710212586	0.30319037546271826	-518519437.81094736	0.9846644172819015	3.133843609346228e-55	0.0049260115339781535
1710212737	1710212795	0.11063579316496978	-189210208.76644897	0.8722660118091204	1.0741727687691217e-26	0.005657576058205813
1710212952	1710213012	0.1716320644623504	-293526845.54752314	0.9645394324783205	9.301505821289443e-44	0.004321129450771606
1710213191	1710213252	0.1645549973558962	-281423596.8037065	0.939119867546279	1.4787096176610756e-37	0.005454592992319542
1710213402	1710213461	0.30167329047340724	-515925172.85473794	0.9739579831680341	7.487860592079547e-47	0.006533811926399994
1710213606	1710213674	0.20106056036950778	-343855979.07840127	0.9591141432356155	1.5178487671787655e-47	0.005109828504937393
