Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709740062	1709740137	0.04654850640113817	-79583734.85445076	0.9205310292717415	6.974058819873606e-42	0.0016007514291003775
1709740287	1709740348	0.04762030671602428	-81416247.78701389	0.9395447678171175	1.2024252173129486e-37	0.0015726221562362911
1709740501	1709740554	0.05617319787130879	-96039485.42535166	0.9312070182484362	2.6198423790925953e-31	0.0021379276647002948
1709740739	1709740803	0.04649496336996258	-79492228.2846541	0.94640176666707	4.1613722597732966e-41	0.0014052303837608579
1709740945	1709741010	0.037500437062936515	-64113928.51852747	0.8744300110989957	4.40183731950257e-30	0.0017903851018770947
1709741167	1709741224	0.04222906403940806	-72198665.25622346	0.922252442360583	3.4722066573135115e-32	0.00165328825916441
1709741405	1709741466	0.04785457429931306	-81816842.96021508	0.9378255754288156	2.752259951108161e-37	0.0016041401265838027
1709741602	1709741674	0.047188725963084904	-80678424.90619133	0.9550955136638292	6.571645738719964e-49	0.0012229556166696012
1709741831	1709741888	0.04435182784547424	-75828072.62004277	0.9248354037735893	1.369310518005439e-32	0.0017049224095501056
1709742068	1709742131	0.05267329109062897	-90055639.71497442	0.9460087406773829	2.264751846196043e-40	0.0016111637835355054
1709742273	1709742339	0.04996722680304693	-85428978.68247072	0.9630184689476685	1.515655237781394e-47	0.0012239689344928663
1709742495	1709742551	0.04602699931647374	-78692214.39856073	0.89917463928117	1.4201341117457905e-28	0.0020973873777452774
