Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710133260	1710133320	0.28528774659627676	-487879383.8697332	0.9774370761551275	1.8689978921349337e-49	0.00569144320429284
1710133467	1710133528	0.31530126916975126	-539206656.8470345	0.9790342247150376	3.189297086477394e-51	0.006006980738978649
1710133682	1710133741	0.2952520748100529	-504919975.9181789	0.9796172239577147	6.9250302841776335e-50	0.005641037547613943
1710133920	1710133984	0.30791199633699645	-526570222.1264163	0.984177889911518	1.529479770778113e-57	0.004958224233180262
1710134127	1710134192	0.27713649475524504	-473940057.67917657	0.980842826945802	7.907808808839643e-56	0.004879658688101197
1710134344	1710134406	0.3041597794062102	-520153577.2520101	0.9812908738065459	1.5018541425878476e-53	0.005421931564155778
1710134584	1710134648	0.3192639423076926	-545983809.7003645	0.9849295331268462	3.381541030159491e-58	0.005015506535568316
1710134796	1710134858	0.3020432373901437	-516534147.12270784	0.986088750795353	2.0652950765348623e-57	0.0046314667912722
1710135012	1710135071	0.2971926358854471	-508239027.21546733	0.9791697181863668	1.2862462932519785e-49	0.005741418466456857
1710135249	1710135314	0.31469099650349663	-538163665.853508	0.9889140801743357	2.589416561144088e-63	0.004197789234469476
1710135457	1710135521	0.2704552884615384	-462514681.611972	0.9790061772765863	9.846735771981857e-54	0.005029822740196273
1710135675	1710135734	0.29958147282291075	-512324466.851501	0.9835885489279538	1.4363406749934547e-52	0.005125594947508436
