Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709706003	1709706060	0.08469736842105283	-144807069.30433807	0.6766668082729748	4.23067934254342e-15	0.007894530005369804
1709706199	1709706269	0.07771257107864582	-132865165.65938687	0.7025395974033046	1.428089846318913e-19	0.0061321955858611365
1709706423	1709706477	0.07439416809605505	-127191697.80173467	0.5095795124644265	1.3664512781435582e-09	0.01012081631356393
1709706661	1709706725	0.06831387362637382	-116796198.03954808	0.605139830086339	3.9672038784214744e-14	0.0070082060441502255
1709706873	1709706931	0.06534085945430483	-111713233.19462167	0.5259056402198922	1.211024197105452e-10	0.008290282105232066
1709707087	1709707143	0.05346561859193446	-91410060.48188096	0.3285932863108446	3.884788251592849e-06	0.01040018855019304
1709707328	1709707389	0.04189227921734528	-71623057.59866275	0.2829972226251795	1.0236155979847489e-05	0.008681151111663572
1709707537	1709707601	0.05976556776556785	-102181165.34833474	0.6047106673889268	4.1044572975376084e-14	0.006136757148719531
1709707751	1709707805	0.07604676958261834	-130017279.2422456	0.5483079378686909	1.5554045830646895e-10	0.009571677579716492
1709707996	1709708054	0.06531099080254704	-111662252.23983279	0.5420044486524741	4.538388218927664e-11	0.008022716818961531
1709708202	1709708255	0.08373512336719892	-143162158.3474196	0.6085123207301408	5.795306511742735e-12	0.00940474312089076
1709708415	1709708469	0.063773699256718	-109033962.20191155	0.5123607405556294	1.1756360558803607e-09	0.008627825379972644
