Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710162457	1710162515	0.9827872281522049	-1680723538.0325336	0.9945481147104223	4.470553178816176e-65	0.009723574498581116
1710162665	1710162723	0.9250702882278767	-1582018382.3807106	0.999169509022835	5.854087949661832e-88	0.003563925293214253
1710162875	1710162933	0.7314617490541064	-1250916447.7734556	0.9991658658310958	6.61740657582269e-88	0.002824208579398218
1710163118	1710163178	1.1509505418171704	-1968310877.926049	0.9972440228393595	6.122464657375282e-76	0.007944741133969
1710163324	1710163387	0.7685858294930867	-1314405008.0265932	0.9985297643257617	4.1030503016390786e-88	0.003776073388647627
1710163538	1710163597	0.7889135008766811	-1349168816.3806717	0.9982320863921763	3.7593151414504255e-80	0.004397508798979391
1710163779	1710163841	0.9416040895469758	-1610294906.7597902	0.9886935980302713	4.103710148603293e-60	0.01299942254404157
1710163990	1710164052	0.7143207171816368	-1221603277.257114	0.9965366536929356	1.5727568000069154e-75	0.00543649436329893
1710164206	1710164262	0.9957317156527677	-1702862436.3097055	0.9994374440142215	1.942342230672549e-89	0.0032147745926496027
1710164445	1710164507	0.8636199038049901	-1476929753.3228278	0.9991867603151552	2.078656965150215e-94	0.0031807751079767008
1710164654	1710164715	0.8521565309360142	-1457325676.781807	0.9975792756155143	6.943374739683042e-79	0.005465027281786521
1710164867	1710164928	0.8774775251189852	-1500628934.3852522	0.9989701690054582	7.789078674194128e-90	0.003667893484645656
